driver_id,date,stop_name,latitude,longitude,visit_time,visit_duration,traffic_level,weather,distance_from_previous,travel_time,fuel_estimate,region,day_of_week,week_number
D8,2026-01-12,Store_46,23.128962,72.551703,08:15:00,30.78,medium,clear,10.0,27.0,0.99,North Ahmedabad,Monday,3
D10,2026-01-24,Store_18,23.121057,72.797194,16:45:00,13.18,medium,cloudy,7.57,19.26,0.71,Gandhinagar,Saturday,4
D6,2026-04-20,Store_4,23.042954,72.508151,14:00:00,9.21,medium,rain,4.34,13.8,0.36,Vadodara,Monday,17
D12,2026-02-16,Store_33,23.136296,72.730069,12:30:00,21.05,low,cloudy,9.16,19.43,0.89,Gandhinagar,Monday,8
D4,2026-01-16,Store_40,23.122594,72.509531,10:30:00,30.9,high,cloudy,9.05,37.53,1.05,Surat Hub,Friday,3
D12,2026-02-02,Store_15,23.088537,72.657564,14:00:00,19.58,medium,cloudy,12.02,34.0,1.41,Surat Hub,Monday,6
D8,2026-02-10,Store_38,23.045288,72.709497,10:30:00,14.65,high,clear,6.59,23.72,0.79,Gandhinagar,Tuesday,7
D2,2026-05-05,Store_6,23.163204,72.726958,18:30:00,23.32,high,clear,13.99,47.95,1.44,North Ahmedabad,Tuesday,19
D5,2026-02-22,Store_54,22.870496,72.503593,17:00:00,31.91,low,rain,2.75,6.21,0.31,Vadodara,Sunday,8
D11,2026-01-22,Store_45,23.099419,72.660706,16:00:00,28.86,high,clear,4.74,15.45,0.56,Surat Hub,Thursday,4
D6,2026-03-12,Store_27,22.789355,72.507466,08:00:00,9.7,medium,clear,11.2,27.37,1.07,South Ahmedabad,Thursday,11
D12,2026-04-08,Store_46,23.128962,72.551703,09:30:00,22.18,high,cloudy,2.93,11.05,0.22,North Ahmedabad,Wednesday,15
D7,2026-05-10,Store_5,23.019812,72.400791,10:15:00,24.07,medium,cloudy,14.12,39.93,1.64,Surat Hub,Sunday,19
D6,2026-01-04,Store_36,22.81839,72.344743,16:30:00,37.1,low,clear,9.46,17.33,0.94,North Ahmedabad,Sunday,1
D3,2026-05-11,Store_45,23.099419,72.660706,12:45:00,20.63,high,clear,13.56,48.83,1.49,Surat Hub,Monday,20
D6,2026-02-02,Store_21,23.141421,72.680031,16:30:00,16.74,high,cloudy,6.28,22.49,0.64,North Ahmedabad,Monday,6
D12,2026-05-02,Store_17,22.940541,72.408645,09:15:00,39.43,low,cloudy,16.22,34.4,1.19,South Ahmedabad,Saturday,18
D6,2026-03-25,Store_22,22.916018,72.617832,18:00:00,24.61,medium,clear,11.76,28.74,0.99,South Ahmedabad,Wednesday,13
D7,2026-01-22,Store_28,22.94724,72.443624,08:00:00,24.83,low,clear,6.17,11.89,0.64,Gandhinagar,Thursday,4
D10,2026-02-25,Store_50,23.086464,72.390304,14:15:00,24.42,high,rain,9.83,39.43,0.81,Surat Hub,Wednesday,9
D8,2026-03-21,Store_57,22.927436,72.282188,08:15:00,29.15,medium,clear,3.83,10.34,0.28,South Ahmedabad,Saturday,12
D5,2026-05-10,Store_42,22.964411,72.495052,18:00:00,23.58,high,rain,6.52,26.15,0.67,South Ahmedabad,Sunday,19
D8,2026-04-20,Store_45,23.099419,72.660706,14:00:00,23.58,medium,rain,1.2,4.21,0.12,Surat Hub,Monday,17
D3,2026-02-07,Store_4,23.042954,72.508151,12:00:00,27.18,medium,clear,2.06,5.56,0.18,Vadodara,Saturday,6
D6,2026-02-23,Store_11,22.992922,72.435214,10:30:00,29.06,high,rain,15.78,66.8,1.53,North Ahmedabad,Monday,9
D12,2026-04-29,Store_30,22.883967,72.765056,17:30:00,30.94,medium,cloudy,5.57,15.76,0.45,Surat Hub,Wednesday,18
D8,2026-04-08,Store_31,22.753241,72.504423,09:45:00,26.38,high,clear,16.15,58.13,1.89,North Ahmedabad,Wednesday,15
D9,2026-01-20,Store_58,23.034041,72.465501,17:45:00,15.92,medium,cloudy,5.56,17.31,0.46,Gandhinagar,Tuesday,4
D9,2026-03-24,Store_4,23.042954,72.508151,16:00:00,8.25,medium,cloudy,11.06,34.4,1.06,Vadodara,Tuesday,13
D9,2026-04-17,Store_56,23.092008,72.618947,14:45:00,12.51,medium,rain,10.98,40.38,0.82,North Ahmedabad,Friday,16
D6,2026-04-03,Store_44,22.947396,72.573899,17:15:00,23.41,high,clear,9.48,30.87,0.79,Vadodara,Friday,14
D10,2026-02-20,Store_32,23.04854,72.688644,09:15:00,21.25,low,rain,4.05,9.15,0.43,South Ahmedabad,Friday,8
D3,2026-03-19,Store_57,22.927436,72.282188,17:45:00,27.14,medium,clear,14.08,38.02,1.66,South Ahmedabad,Thursday,12
D6,2026-01-17,Store_17,22.940541,72.408645,16:45:00,22.65,low,cloudy,6.58,13.26,0.61,South Ahmedabad,Saturday,3
D9,2026-04-26,Store_26,23.068759,72.697658,12:15:00,23.66,medium,clear,10.7,30.27,0.81,North Ahmedabad,Sunday,17
D5,2026-05-20,Store_3,22.710334,72.310964,10:45:00,26.56,high,clear,9.08,28.02,1.04,Gandhinagar,Wednesday,21
D11,2026-01-05,Store_15,23.088537,72.657564,09:00:00,28.13,high,clear,6.85,22.3,0.49,Surat Hub,Monday,2
D1,2026-01-01,Store_10,23.163052,72.561415,16:00:00,20.93,high,clear,1.2,4.0,0.13,Surat Hub,Thursday,1
D12,2026-05-10,Store_8,23.097301,72.399542,17:45:00,30.12,high,clear,5.27,18.06,0.53,Gandhinagar,Sunday,19
D2,2026-04-30,Store_27,22.789355,72.507466,17:00:00,32.32,medium,clear,11.88,30.54,1.19,South Ahmedabad,Thursday,18
D7,2026-01-08,Store_5,23.019812,72.400791,08:30:00,21.37,high,cloudy,12.4,46.76,0.98,Surat Hub,Thursday,2
D5,2026-05-18,Store_36,22.81839,72.344743,17:15:00,29.92,high,cloudy,10.02,34.01,0.85,North Ahmedabad,Monday,21
D6,2026-03-22,Store_33,23.136296,72.730069,16:30:00,24.09,high,clear,7.95,25.89,0.74,Gandhinagar,Sunday,12
D2,2026-01-17,Store_59,23.059728,72.57577,10:00:00,21.84,medium,clear,9.9,25.45,0.9,Vadodara,Saturday,3
D2,2026-02-27,Store_51,22.961994,72.831246,16:00:00,33.62,medium,clear,7.27,18.69,0.59,North Ahmedabad,Friday,9
D2,2026-03-22,Store_22,22.916018,72.617832,17:30:00,19.96,medium,cloudy,11.1,31.4,1.08,South Ahmedabad,Sunday,12
D3,2026-03-02,Store_32,23.04854,72.688644,10:30:00,25.48,medium,cloudy,8.88,26.39,0.85,South Ahmedabad,Monday,10
D9,2026-03-14,Store_17,22.940541,72.408645,10:45:00,25.99,high,clear,11.07,41.76,1.24,South Ahmedabad,Saturday,11
D10,2026-01-08,Store_5,23.019812,72.400791,10:15:00,22.99,medium,clear,1.2,4.0,0.13,Surat Hub,Thursday,2
D9,2026-04-30,Store_25,23.131126,72.584916,09:15:00,21.74,high,clear,1.2,4.53,0.14,Surat Hub,Thursday,18
D6,2026-04-19,Store_26,23.068759,72.697658,17:15:00,21.48,medium,clear,8.92,21.78,0.72,North Ahmedabad,Sunday,16
D10,2026-03-15,Store_29,22.978477,72.870388,09:00:00,16.67,high,rain,4.43,17.75,0.53,Vadodara,Sunday,11
D8,2026-01-20,Store_31,22.753241,72.504423,12:15:00,31.39,low,cloudy,9.58,21.35,0.74,North Ahmedabad,Tuesday,4
D4,2026-01-26,Store_15,23.088537,72.657564,08:45:00,31.89,medium,clear,6.24,17.64,0.59,Surat Hub,Monday,5
D1,2026-01-12,Store_17,22.940541,72.408645,18:00:00,21.04,high,cloudy,7.44,26.64,0.54,South Ahmedabad,Monday,3
D9,2026-02-21,Store_45,23.099419,72.660706,10:30:00,37.21,high,clear,9.74,36.75,0.93,Surat Hub,Saturday,8
D6,2026-05-08,Store_19,23.004268,72.403369,18:30:00,16.67,medium,clear,6.34,15.49,0.57,Vadodara,Friday,19
D12,2026-05-09,Store_38,23.045288,72.709497,09:30:00,18.08,medium,clear,7.83,20.13,0.72,Gandhinagar,Saturday,19
D6,2026-02-13,Store_9,23.0815,72.379623,08:30:00,13.27,medium,cloudy,9.3,24.98,0.94,Vadodara,Friday,7
D11,2026-03-08,Store_60,23.278785,72.523529,18:45:00,18.57,medium,rain,7.27,23.08,0.55,Surat Hub,Sunday,10
D7,2026-04-13,Store_49,22.810868,72.371951,14:15:00,23.49,high,rain,3.37,15.0,0.36,Vadodara,Monday,16
D12,2026-04-15,Store_39,22.95414,72.603108,09:15:00,26.88,low,cloudy,6.31,13.39,0.59,Vadodara,Wednesday,16
D4,2026-05-17,Store_15,23.088537,72.657564,17:15:00,28.25,low,cloudy,5.83,13.6,0.65,Surat Hub,Sunday,20
D3,2026-01-06,Store_4,23.042954,72.508151,08:15:00,24.68,low,cloudy,2.52,5.61,0.29,Vadodara,Tuesday,2
D9,2026-04-14,Store_24,23.161929,72.616119,08:45:00,22.19,medium,cloudy,6.65,20.69,0.64,Vadodara,Tuesday,16
D4,2026-04-05,Store_32,23.04854,72.688644,12:00:00,8.0,high,cloudy,4.13,17.13,0.36,South Ahmedabad,Sunday,14
D10,2026-04-30,Store_55,23.156949,72.225936,16:15:00,18.32,medium,clear,7.7,17.83,0.57,Surat Hub,Thursday,18
D9,2026-02-17,Store_27,22.789355,72.507466,17:30:00,21.15,high,clear,7.08,26.71,0.7,South Ahmedabad,Tuesday,8
D3,2026-05-20,Store_52,22.965498,72.718903,16:30:00,20.95,medium,rain,16.26,57.08,1.44,South Ahmedabad,Wednesday,21
D1,2026-01-10,Store_22,22.916018,72.617832,08:00:00,20.06,medium,cloudy,13.59,36.53,1.6,South Ahmedabad,Saturday,2
D12,2026-04-16,Store_31,22.753241,72.504423,10:30:00,24.89,high,clear,1.71,5.88,0.17,North Ahmedabad,Thursday,16
D12,2026-04-14,Store_13,22.953968,72.500973,16:30:00,24.1,medium,clear,12.01,30.88,1.37,Gandhinagar,Tuesday,16
D1,2026-02-09,Store_4,23.042954,72.508151,17:30:00,29.51,high,clear,11.13,36.24,1.15,Vadodara,Monday,7
D4,2026-04-25,Store_41,23.095584,72.439015,17:45:00,19.25,low,cloudy,14.79,34.52,1.74,North Ahmedabad,Saturday,17
D10,2026-03-13,Store_57,22.927436,72.282188,08:15:00,8.08,high,clear,5.21,16.09,0.38,South Ahmedabad,Friday,11
D12,2026-03-05,Store_16,23.365164,72.490117,10:30:00,28.3,low,clear,8.26,15.93,0.87,North Ahmedabad,Thursday,10
D6,2026-01-29,Store_59,23.059728,72.57577,12:15:00,15.79,medium,clear,11.45,27.96,0.8,Vadodara,Thursday,5
D2,2026-03-13,Store_17,22.940541,72.408645,10:15:00,21.42,medium,cloudy,4.21,11.9,0.36,South Ahmedabad,Friday,11
D8,2026-02-03,Store_55,23.156949,72.225936,17:15:00,18.16,medium,clear,11.72,31.65,1.09,Surat Hub,Tuesday,6
D11,2026-04-10,Store_12,23.218107,72.540494,08:00:00,26.67,low,rain,9.16,21.83,0.66,South Ahmedabad,Friday,15
D2,2026-01-16,Store_43,22.831166,72.668794,09:30:00,22.59,medium,cloudy,1.2,4.0,0.14,Gandhinagar,Friday,3
D7,2026-03-28,Store_28,22.94724,72.443624,17:00:00,15.91,high,clear,7.24,24.83,0.73,Gandhinagar,Saturday,13
D11,2026-05-18,Store_5,23.019812,72.400791,17:15:00,32.5,medium,cloudy,10.36,27.84,0.94,Surat Hub,Monday,21
D8,2026-02-14,Store_50,23.086464,72.390304,08:00:00,17.32,medium,clear,6.16,16.64,0.65,Surat Hub,Saturday,7
D4,2026-04-14,Store_50,23.086464,72.390304,18:15:00,18.44,medium,clear,9.35,26.45,0.74,Surat Hub,Tuesday,16
D10,2026-03-13,Store_8,23.097301,72.399542,08:45:00,22.07,low,rain,12.26,27.65,1.41,Gandhinagar,Friday,11
D2,2026-05-04,Store_25,23.131126,72.584916,16:30:00,28.07,medium,clear,3.25,8.35,0.34,Surat Hub,Monday,19
D12,2026-04-28,Store_12,23.218107,72.540494,16:00:00,16.93,medium,rain,8.66,28.96,0.85,South Ahmedabad,Tuesday,18
D7,2026-02-25,Store_46,23.128962,72.551703,17:30:00,20.09,medium,cloudy,3.27,9.26,0.31,North Ahmedabad,Wednesday,9
D12,2026-01-02,Store_3,22.710334,72.310964,14:45:00,19.59,medium,clear,9.81,25.22,1.02,Gandhinagar,Friday,1
D6,2026-01-21,Store_22,22.916018,72.617832,09:45:00,15.03,medium,rain,9.84,31.24,0.92,South Ahmedabad,Wednesday,4
D11,2026-04-13,Store_39,22.95414,72.603108,10:45:00,24.38,medium,cloudy,1.2,4.0,0.12,Vadodara,Monday,16
D6,2026-01-15,Store_47,22.954772,72.555456,18:45:00,33.02,high,clear,14.5,47.21,1.03,South Ahmedabad,Thursday,3
D3,2026-05-18,Store_60,23.278785,72.523529,17:15:00,44.07,high,clear,10.03,36.13,0.99,Surat Hub,Monday,21
D5,2026-02-27,Store_1,23.071255,72.363403,20:30:00,23.67,medium,clear,8.63,19.97,0.66,North Ahmedabad,Friday,9
D4,2026-01-23,Store_19,23.004268,72.403369,10:30:00,21.65,high,clear,2.44,9.21,0.28,Vadodara,Friday,4
D5,2026-02-08,Store_29,22.978477,72.870388,09:00:00,23.67,medium,clear,8.3,19.22,0.78,Vadodara,Sunday,6
D2,2026-05-15,Store_15,23.088537,72.657564,14:30:00,24.38,low,clear,7.57,14.6,0.86,Surat Hub,Friday,20
D10,2026-05-07,Store_7,23.033065,72.796848,20:45:00,29.47,high,clear,9.71,29.97,0.95,South Ahmedabad,Thursday,19
D6,2026-01-14,Store_49,22.810868,72.371951,16:45:00,20.13,medium,clear,8.66,21.16,0.98,Vadodara,Wednesday,3
D5,2026-03-23,Store_32,23.04854,72.688644,10:30:00,21.12,medium,clear,8.93,20.67,0.72,South Ahmedabad,Monday,13
